School name
abertay university
aberystwyth university
arts university bournemouth
aston university
bangor university
bath spa university
bishop grosseteste university
bournemouth university
brunel university london
cardiff metropolitan university
cardiff university
"city, university of london"
coventry university
de montfort university
durham university
edge hill university
falmouth university
"goldsmiths, university of london"
harper adams university
heriot-watt university
imperial college london
keele university
king's college london
lancaster university
leeds trinity university
liverpool hope university
liverpool john moores university
london school of economics and political science
loughborough university
manchester metropolitan university
middlesex university
newcastle university
northumbria university
norwich university of the arts
nottingham trent university
oxford brookes university
plymouth university
queen mary university of london
"queen's university, belfast"
robert gordon university
royal agricultural university
"royal holloway, university of london"
sheffield hallam university
soas university of london
southampton solent university
"st. george's, university of london"
"st. mary's university, twickenham"
staffordshire university
swansea university
teesside university
the university of hull
ulster university
university college london
university for the creative arts
university of aberdeen
university of bath
university of birmingham
university of bradford
university of bristol
university of buckingham
university of cambridge
university of central lancashire
university of chester
university of derby
university of dundee
university of east anglia
university of edinburgh
university of essex
university of exeter
university of glasgow
university of gloucestershire
university of hertfordshire
university of kent
university of leeds
university of leicester
university of lincoln
university of liverpool
university of manchester
university of nottingham
university of oxford
university of portsmouth
university of reading
university of roehampton
university of salford
university of sheffield
university of southampton
university of st. andrews
university of stirling
university of strathclyde
university of sunderland
university of surrey
university of sussex
university of the west of england
university of warwick
university of west london
university of winchester
university of york
universiy of huddersfield
unviersity of chichester
unviersity of northampton
